name
Erweiterter Dolmen
Galeriegrab
Ganggrab
Ganggrab mit Galeriegrabelementen
Ganggrab oder Großdolmen
Gangrab
Großdolmen
Großdolmen oder Ganggrab
Hannoversche Kammer
kammerloses Hünenbett
Langkammergrab
Polygonaldolmen
Steinkiste
Unbestimmbar
Urdolmen
vermutlich Ganggrab
vermutlich Steinkiste
vermutlich Urdolmen
